resort_name,price,rateing,discription,links
LA QUINTA@PLACE LIKE YOUR HOME,"₹1,770
/ night",4.48,5 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/26615962?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Studio ‘Calor Feliz’ a warm & happy studio stay,"₹1,100
/ night",4.69,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/23100722?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Candolim beach-250m 4BHK Luxury AC Wi-Fi Villa,"₹4,362
/ night",4.85,16 guests · 4 bedrooms · 5 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/42548621?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
The Beach Villa Goa,"₹12,143
/ night",4.74,6 guests · 2 bedrooms · 5 beds · 1 bathroom,https://www.airbnb.co.in/rooms/46324353?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
Casa Candolina - 'Your Home Away From Home!',"₹2,000
/ night",4.96,6 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/29350606?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
Frangipani Room - Calangute,"₹1,500
/ night",4.81,2 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/15627261?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
2BHK Luxe-Comfy Apartment close to Baga by Hottley,"₹1,950
/ night",5.0,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48394574?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
Pond Side Room for Working Vacation,"₹2,268
/ night",4.81,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/31865698?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6c30f04e-4537-4805-8959-933bbebec7bd
"BOHO-CHIC room with BALCONY , mountain view & wifi","₹1,200
/ night",4.75,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47147199?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
A3 Comfort Stay . 2bhk flat swimming pool facing,"₹2,500
/ night",4.92,6 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47332261?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
"#Uniquestays - 1BHK admist ""Ocean and River""🏖️","₹1,999
/ night",no rating,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50944851?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
SEA VIEW ROOM 2 With A Private Balcony DONA PAULA,"₹1,710
/ night",4.45,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/46182943?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
02 Dove by Nirvana Abode - Eco 1BHK - Benaulim Goa,"₹999
/ night",no rating,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50766501?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
luxurious and comfortable 1bhk🏠 @Calangute🏖,"₹2,000
/ night",4.53,4 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/41041605?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Luxurious Apartment with a Pool near Candolim,"₹2,429
/ night",4.85,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/46187892?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
04 Flamingo by Nirvana Abode-Eco Studio-South Goa,"₹999
/ night",no rating,3 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50763375?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Luxurious 3BHK Villa With a Caretaker in Baga,"₹9,571
/ night",4.59,9 guests · 3 bedrooms · 6 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/27590279?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Cosy Studio with a Terrace and a View,"₹1,700
/ night",4.83,1 guest · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/33124851?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
VILLA CASA DE FERIAS,"₹2,800
/ night",4.89,6 guests · 3 bedrooms · 4 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/36045239?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Nihal's Hideout - 1 BHK attic house with a view,"₹1,200
/ night",4.51,6 guests · 1 bedroom · 5 beds · 1 bathroom,https://www.airbnb.co.in/rooms/21831065?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
BF1 · Onastay at Candolim Manolita One Bedroom Poolview,"₹3,000
/ night",4.75,4 guests · 1 bedroom · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/38636928?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
TRANQUIL HAVEN | Pool • Pvt. Garden | Siolim • Goa,"₹7,928
/ night",4.95,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/26653077?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Cozy studio with Kitchenette with free Wifi,"₹740
/ night",4.56,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/41471309?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
2 Bedrooms | Plush Apartment | Swimming Pool,"₹5,085
/ night",5.0,5 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47973374?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Exotic 3bhk Duplex Apartment with Private pool B2,"₹9,500
/ night",4.81,8 guests · 3 bedrooms · 3 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/45696268?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Brand new garden themed apartment Siolim,"₹6,900
/ night",4.25,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46499170?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Gorgeous high end 2 bedroom apartment with garden,"₹3,950
/ night",4.38,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/36186107?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
Luxury 2BHK.PvtTerrace.Near Palolem Beach.AC.Wifi,"₹1,599
/ night",no rating,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48655993?previous_page_section_name=1000&translate_ugc=false&federated_search_id=667e0d89-14ce-40aa-846c-3dd454afa7f8
"W4 - Chic, modern, Art Deco 3BHK apartment","₹3,000
/ night",4.86,5 guests · 3 bedrooms · 3 beds · 4.5 bathrooms,https://www.airbnb.co.in/rooms/46821024?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
Casa Paloma - 2bhk furnished apartment in Panaji,"₹1,450
/ night",4.66,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/29767793?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
"S4 - Elegant, bright, pool-view villa, South Goa","₹3,000
/ night",4.67,5 guests · 3 bedrooms · 3 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/46339440?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
"AC,TV,WiFi, 1st Floor ,Tanya RiverSide 2BHK, 2WR","₹1,000
/ night",5.0,5 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/40646088?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
2 BHK Apartment | Wifi | AC | TV | Common Pool,"₹1,928
/ night",4.75,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46447567?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
"BLISSFUL Mountain view STUDIO, PALOLEM, SOUTH GOA.","₹1,345
/ night",4.91,3 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/22499284?previous_page_section_name=1000&translate_ugc=false&federated_search_id=292d5101-bcc1-4ed6-a85a-febf9875678e
