resort_name,price,rateing,discription,links
2BHK Duplex wt Terrace at Candolim🏖Beach,"₹1,986
/ night",4.55,4 guests · 2 bedrooms · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/44303293?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Elegant apartment with Netflix and private garden,"₹5,750
/ night",4.46,6 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/40409046?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Cozy Cottage very close to South Anjuna Beach,"₹1,650
/ night",4.91,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/30031881?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
1BHK-1 Nr Candolim Beach AC Wi-Fi Holiday Home,"₹1,004
/ night",4.91,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/42731555?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
"Artist Cottages, Morjim Beach, Goa","₹3,999
/ night",4.88,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/39513608?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Maya - 1 BHK fully furnished apartment @ Ashvem,"₹1,000
/ night",no rating,4 guests · 1 bedroom · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46146234?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Designer Studio amidst lush greenery in Reis Magos,"₹4,025
/ night",4.73,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/40491755?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
* BOHO BLUE* pvt bedroom with superfast wifi,"₹850
/ night",4.68,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47569313?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
"1BR LUXURY STUDIO w Pool , Gym & TT Near BAGA","₹992
/ night",4.64,4 guests · 1 bedroom · 0 beds · 1 bathroom,https://www.airbnb.co.in/rooms/39219148?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
LA QUINTA 3@ PLACE LIKE YOUR HOME (50 MBPS),"₹1,450
/ night",no rating,5 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48408709?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
SEA VIEW ROOM 4 With A Private Balcony DONA PAULA,"₹1,800
/ night",4.61,3 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/42265935?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
2BHK with Lush green Garden View,"₹2,700
/ night",no rating,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/45050321?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
"Peaceful & Homely Rooms Free Breakfast, A/C, WiFi","₹943
/ night",4.80,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47263151?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Sea View Luxury Villa W/ Two Infinity Pools,"₹14,990
/ night",no rating,6 guests · 3 bedrooms · 3 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/49895734?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
"Sky Villa, Private Terrace Garden & Common Pool","₹7,000
/ night",4.95,4 guests · 2 bedrooms · 2 beds · 2.5 bathrooms,https://www.airbnb.co.in/rooms/39517790?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Riviera Sapphire Studio Apartment,"₹1,799
/ night",4.86,3 guests · Studio · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/45356502?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
1BHK/GF-WiFi-2AC-PowerBackUp-kitchen-washingmachin,"₹1,289
/ night",5.0,4 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48478800?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Luxurious Apartment with a Pool near Candolim,"₹2,429
/ night",4.71,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/46458141?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Casa Oceanara 2Room seaview studio private terrace,"₹1,560
/ night",4.58,4 guests · 2 bedrooms · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/45213959?previous_page_section_name=1000&translate_ugc=false&federated_search_id=b07612f2-21f1-41d1-87bf-707d18289213
Luxury Studio N. Goa (only couples),"₹1,300
/ night",4.57,2 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/7251420?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Designer Penthouse+Private Terrace | 2min to Beach,"₹3,800
/ night",5.0,6 guests · 2 bedrooms · 2 beds · 2.5 bathrooms,https://www.airbnb.co.in/rooms/49156869?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
